scenario,label,variant,sector,flow_sum,flow_pv_3_5,opex_sum,opex_pv_3_5,capex_sum,capex_pv_3_5,revenue_sum,revenue_pv_3_5,req_investment_sum,req_investment_pv_3_5,req_capacity_additions_sum,req_capacity_additions_pv_3_5,ghg_sum,ghg_pv_3_5,jobs_sum,jobs_pv_3_5
CDS,Collection & Disposal,CENTRAL,Closed loop MR Inputs,3563841.78144613,2375601.7156627555,984763235.5204637,662466212.7375324,377492573.6161779,253945381.54938745,3905970592.4649553,2603659480.366377,61080355.9296956,45201532.084343426,56611.974782456025,41422.89985274474,1596266.6118511083,1170414.8219249283,10691.525344338386,7126.805146988265
CDS,Collection & Disposal,CENTRAL,Closed loop MR Outputs,2598092.5363478987,1732176.2824528525,717956824.8653405,483069369.21099967,275216782.8650473,185176591.53088325,2847509419.8372984,1898465205.5683272,44345016.34257232,32841571.377848964,41094.063724489824,30090.80357333079,1164059.186045037,853654.2628815726,7794.277609043695,5196.528847358558
CDS,Collection & Disposal,CENTRAL,Open loop MR Inputs,11573269.983588636,7676774.067440121,2129058546.7567866,1425453521.2226443,798396955.0337949,534545070.4584917,10447571550.892334,6828363687.768133,87756574.40200263,63283641.13902561,208889.90676055173,148967.5336337896,5141829.599611031,3754659.4220116287,34719.809950765906,23030.322202320363
CDS,Collection & Disposal,CENTRAL,Open loop MR Outputs,8436040.293214101,5596945.834393309,1552042483.5537984,1039335149.0748581,582015931.3326741,389750680.9030716,7615100027.241177,4978111598.264917,106182202.09107222,76621278.21581143,151626.68824742892,108200.77896634581,3749270.7063984154,2738288.542338274,25308.120879642298,16790.837503179926
CDS,Collection & Disposal,CENTRAL,Chemical conversion P2P Inputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS,Collection & Disposal,CENTRAL,Chemical conversion P2P Outputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS,Collection & Disposal,CENTRAL,Chemical conversion P2F Inputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS,Collection & Disposal,CENTRAL,Chemical conversion P2F Outputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS,Collection & Disposal,CENTRAL,Thermal treatment,2108780.9015593915,1161176.850293744,54358523.571004935,29931919.024931498,44100970.71706003,24283711.140528914,74439965.8250465,40989542.81536915,96118513.65459272,57416593.96018847,229805.46979510257,137274.77514343878,2931205.4531675535,1614035.8219083038,210.87809015593916,116.11768502937441
CDS,Collection & Disposal,CENTRAL,Engineered landfills,4152927.8191084974,2408745.607056035,20764639.095542483,12043728.035280177,62293917.28662745,36131184.10584051,41529.278191084966,24087.456070560354,62293917.28662745,36131184.10584051,4152927.8191084974,2408745.607056035,20764.63909554248,12043.728035280174,415.2927819108497,240.87456070560356
CDS,Collection & Disposal,CENTRAL,Import (sorting),273448.6386022726,175818.27755952073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8318.599521478985,5898.280408074065,0.0,0.0,0.0,0.0
CDS,Collection & Disposal,CENTRAL,Open burning,18276949.912793938,11404168.172835214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,861377.8481026451,534903.9031245321,52893493.04762567,33003662.692185115,0.0,0.0
RES,Recycling,CENTRAL,Virgin plastic production,58106878.977976106,36787394.52307409,58833214965.20082,37247236954.61253,19611071655.066933,12415745651.537508,0.0,0.0,15453722505.103144,10022155123.590776,2289440.3711263905,1484763.7220134477,154854832.4763064,98038406.40399252,464855.0318238089,294299.1561845928
RES,Recycling,CENTRAL,Plastic conversion,60717367.48142178,38462553.18672061,40574380819.46012,25702601167.026054,13524793606.486702,8567533722.342015,0.0,0.0,10551554285.084991,6841570684.517632,2368474.5869999984,1535706.1020241599,79782620.87058826,50539794.8873509,303586.83740710886,192312.76593360305
RES,Recycling,CENTRAL,Formal collection,33234637.344804976,19424557.424189817,2501028723.5707226,1389325477.5047991,1071869452.6741276,595425204.4867328,0.0,0.0,749643781.1159801,433427590.5907427,2488056.618890107,1510028.737938823,576953.3043058144,337210.31688393524,200363.51890431013,117105.9168869758
RES,Recycling,CENTRAL,Informal collection & sorting,9716444.889402883,6369437.74647426,3057784510.890233,2004474713.3275294,0.0,0.0,0.0,0.0,0.0,0.0,205522.13023268137,131072.48659212308,0.0,0.0,1078525.3827237196,707007.5898586427
RES,Recycling,CENTRAL,Formal sorting,273448.6386022658,175818.27755951433,16343902.248483747,10618218.177027076,5447967.416161249,3539406.059009027,0.0,0.0,1692562.3396236019,1214657.2268244105,8318.599521478984,5898.280408074065,13229.445135577624,8506.08826832931,464.862685623852,298.89107185117444
RES,Recycling,CENTRAL,Closed loop MR Inputs,3299563.6687511206,2143622.67970079,906792949.2001275,594896361.8161415,347603963.8600489,228043605.3628542,3616321780.951228,2349410456.9520664,86386419.88572755,57955942.6477053,81446.0165943685,54217.51653569894,1416391.5135342518,1015220.0670131551,9898.691006253359,6430.868039102369
RES,Recycling,CENTRAL,Closed loop MR Outputs,2610488.5034456532,1675158.663646501,714039554.68207,462894842.1487671,273715162.62812686,177443022.82369402,2861095399.7764373,1835973895.356566,84407587.59242503,55351070.19626732,80067.47031157778,52087.08265355782,1097309.9783723839,777947.7748312536,7831.465510336964,5025.475990939507
RES,Recycling,CENTRAL,Open loop MR Inputs,11094291.016269797,7168270.702658607,2028209279.3130815,1323606289.351239,760578479.7424058,496352358.5067148,10079813676.515528,6421447601.442196,127701276.06913684,84399799.8074059,308811.508121719,202435.87238746998,4717844.231314835,3366043.6150164786,33282.87304880938,21504.812107975817
