scenario,label,variant,sector,flow_sum,flow_pv_3_5,opex_sum,opex_pv_3_5,capex_sum,capex_pv_3_5,revenue_sum,revenue_pv_3_5,req_investment_sum,req_investment_pv_3_5,req_capacity_additions_sum,req_capacity_additions_pv_3_5,ghg_sum,ghg_pv_3_5,jobs_sum,jobs_pv_3_5
BAU,Business-as-Usual,CENTRAL,Chemical conversion P2F Outputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAU,Business-as-Usual,CENTRAL,Thermal treatment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAU,Business-as-Usual,CENTRAL,Engineered landfills,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAU,Business-as-Usual,CENTRAL,Import (sorting),273448.6386024168,175818.2775596057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8318.59952147899,5898.280408074069,0.0,0.0,0.0,0.0
BAU,Business-as-Usual,CENTRAL,Open burning,25748301.531394046,16159954.996980708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1125728.6521261781,730257.2844728619,74515584.63185437,46766909.76126217,0.0,0.0
BAU,Business-as-Usual,LOWER,Virgin plastic production,58477108.43760816,36968782.243755415,50396963468.1482,31874728541.479694,16934259141.445784,10693462000.161676,0.0,0.0,15787708319.073006,10235737130.256098,2338919.750973777,1516405.50077868,149738539.9918106,94682886.77892724,432522.4802407259,273344.95697626617
BAU,Business-as-Usual,LOWER,Plastic conversion,60717367.48138671,38462553.186700754,34748076460.204765,21992787368.445396,11621568910.015087,7367733164.65344,0.0,0.0,10551554282.316767,6841570682.934238,2368474.5863786223,1535706.1016687395,76488017.72421777,48436173.30253321,279285.8287416485,176834.67820951017
BAU,Business-as-Usual,LOWER,Formal collection,9655936.256653022,6509724.337518339,451412985.8941926,293780411.66864896,194536951.6828806,126642189.9501297,0.0,0.0,13692384.000450764,7826591.272349765,58161.732759396604,34124.353272403234,161889.2870409778,109199.35189134213,56324.527834179076,37964.70584433462
BAU,Business-as-Usual,LOWER,Informal collection & sorting,10446221.153778864,6978791.384066607,3276933219.559824,2188705051.2762885,0.0,0.0,0.0,0.0,0.0,0.0,116143.90865175976,72038.23682499082,0.0,0.0,1158248.9602218228,772537.1633603394
BAU,Business-as-Usual,LOWER,Formal sorting,205649.957670051,132229.3336619487,12004422.228472123,7804520.761258326,4001317.491325659,2596520.04026845,0.0,0.0,1230865.0336307029,873059.7545911751,6062.550132651964,4249.749349620529,9954.378854074239,6402.822405603508,350.51560013621634,225.42303622588727
BAU,Business-as-Usual,LOWER,Closed loop MR Inputs,2469559.443602203,1647667.2814480616,671368328.482045,451847602.2131172,257101780.87883744,173106254.9502452,2641322536.6030264,1760583048.2402487,28420839.695008926,17215090.4195389,26967.419098732953,16247.843221707377,1076488.976963046,790673.7503416358,7235.117738352403,4819.053259259873
BAU,Business-as-Usual,LOWER,Closed loop MR Outputs,1884694.1899691874,1257252.7508670664,501037104.0557815,337266614.463937,192230321.95324805,129448128.07181881,1982409166.2675726,1321399226.6638916,21867226.961990643,13273348.39929644,20743.456064145565,12522.515458481239,805919.7929373438,592365.5698563006,5442.097452323024,3631.342120481576
BAU,Business-as-Usual,LOWER,Open loop MR Inputs,7216332.197143848,4822852.153495123,1357205984.0443895,914660467.8512015,512682954.1655969,345339955.61480486,6578396896.71683,4329344431.363969,32533584.053163152,19695834.944821324,78902.17261330363,47512.594483685665,3289940.2054632963,2416625.9744925573,22074.73366295579,14725.109610418105
BAU,Business-as-Usual,LOWER,Open loop MR Outputs,5558770.013261138,3704797.521619272,984809536.0780354,663004920.1149284,367344175.5328811,247231525.87952805,4779919652.864221,3144387277.5116544,40047693.83887364,23561448.976487964,58482.44495087578,34273.96852048178,2369986.7048415095,1741679.3766765285,15914.21759035885,10602.56210705245
BAU,Business-as-Usual,LOWER,Chemical conversion P2P Inputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAU,Business-as-Usual,LOWER,Chemical conversion P2P Outputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAU,Business-as-Usual,LOWER,Chemical conversion P2F Inputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAU,Business-as-Usual,LOWER,Chemical conversion P2F Outputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAU,Business-as-Usual,LOWER,Thermal treatment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAU,Business-as-Usual,LOWER,Engineered landfills,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAU,Business-as-Usual,LOWER,Import (sorting),205649.957670051,132229.3336619487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6062.550132651964,4249.749349620529,0.0,0.0,0.0,0.0
BAU,Business-as-Usual,LOWER,Open burning,20981086.43228026,13124147.784884693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,954124.9790720706,618948.379987684,60955352.30743252,38360485.35873334,0.0,0.0
BAU,Business-as-Usual,UPPER,Virgin plastic production,58832673.291448765,37205300.43585188,67548253292.999954,42716155110.14042,22717348861.93251,14358181134.603443,0.0,0.0,15834875041.577213,10270398456.108183,2345907.4135669963,1521540.5120160282,162569286.70984644,102800717.2279139,507907.91366719,321217.8258903606
BAU,Business-as-Usual,UPPER,Plastic conversion,60717367.48141854,38462553.18671897,46403911337.6877,29400070689.767067,15494636854.666529,9809504850.926329,0.0,0.0,10551554287.857374,6841570686.100068,2368474.5876223063,1535706.1023793642,83074471.08815141,52643246.3719926,329290.0157575119,208525.53196216887
BAU,Business-as-Usual,UPPER,Formal collection,11139077.277123265,7510926.617451484,622218792.3148946,405481577.40794075,265877577.1790334,173130210.1635235,0.0,0.0,16514676.355504973,9755110.165731113,71502.66028012606,43692.65975824696,200163.64991952232,134895.16311036385,69292.48347314613,46730.75897120298
BAU,Business-as-Usual,UPPER,Informal collection & sorting,13491217.846815111,9005662.705166604,4262383461.608525,2844092308.618401,0.0,0.0,0.0,0.0,0.0,0.0,157936.76722898838,99669.87570290134,0.0,0.0,1503320.0154484184,1004242.436296532
BAU,Business-as-Usual,UPPER,Formal sorting,274575.6325143144,176542.37453729226,18192099.076972138,11830776.710194718,6051105.997175262,3933581.499774451,0.0,0.0,1731809.7731943182,1244087.025241769,8509.728867304015,6040.07375339341,14244.537877834948,9153.157881365381,498.5585712406168,320.6760344280393
BAU,Business-as-Usual,UPPER,Closed loop MR Inputs,3031103.69170731,2021117.1019831763,857994864.4367688,577755668.0341077,329980690.92190987,222166031.38953164,3369316723.5637474,2246845319.5235167,39243875.26449496,24974509.105215523,37000.887921051355,23368.170751425456,1379280.8354027644,1013868.4184739158,9263.401791693854,6182.236248424185
BAU,Business-as-Usual,UPPER,Closed loop MR Outputs,2240259.0437931586,1493770.9429531426,640136924.9284034,430944583.6586469,245727039.45488736,165387288.5268611,2537013109.597766,1692013088.7533665,28996747.094035204,18447845.378656253,27342.39519896712,17262.89636472396,1035681.9483728578,761935.2178225861,6932.5979452478505,4625.373562828443
BAU,Business-as-Usual,UPPER,Open loop MR Inputs,9739980.857648864,6504220.447212568,1827274585.7927237,1231373226.0331407,690223005.9895884,465347929.0015804,8878701902.557577,5840924084.928704,47281634.34225557,30115343.797621775,113941.21190386037,72015.79544658275,4455942.106972227,3275030.304627871,29630.85321410538,19769.00783082472
BAU,Business-as-Usual,UPPER,Open loop MR Outputs,7853171.16800358,5242243.190334097,1408564537.5782986,948776394.2925149,527953294.9432304,355521295.6895645,6804083473.991201,4478638272.613535,63893539.63466669,40633424.027646825,92363.4449130873,58293.73282533866,3391818.6171135344,2493822.7803301886,22829.36825462614,15256.176925628271
BAU,Business-as-Usual,UPPER,Chemical conversion P2P Inputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAU,Business-as-Usual,UPPER,Chemical conversion P2P Outputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAU,Business-as-Usual,UPPER,Chemical conversion P2F Inputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAU,Business-as-Usual,UPPER,Chemical conversion P2F Outputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAU,Business-as-Usual,UPPER,Thermal treatment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAU,Business-as-Usual,UPPER,Engineered landfills,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAU,Business-as-Usual,UPPER,Import (sorting),274575.6325143144,176542.37453729226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8509.728867304015,6040.07375339341,0.0,0.0,0.0,0.0
BAU,Business-as-Usual,UPPER,Open burning,28966209.143238142,18165028.59830255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1305672.9570115404,846148.8830033669,87994841.66818494,55208704.79291417,0.0,0.0
CDS,Collection & Disposal,CENTRAL,Virgin plastic production,58119274.94507258,36730376.90426671,58845765881.88599,37189506615.570045,19615255293.961994,12396502205.190014,0.0,0.0,15715887163.205341,10170264563.069523,2328279.5797341256,1506705.8611954856,154887867.72861844,97886454.4498708,464954.1995605808,293843.0152341338
CDS,Collection & Disposal,CENTRAL,Plastic conversion,60717367.48142048,38462553.186719574,40574380819.45922,25702601167.025337,13524793606.486416,8567533722.341785,0.0,0.0,10551554285.084988,6841570684.51763,2368474.5869999966,1535706.1020241592,79782620.87058651,50539794.88734951,303586.83740710246,192312.76593359784
CDS,Collection & Disposal,CENTRAL,Formal collection,34013641.03850971,19994576.20724557,2521695479.0056343,1408721162.0000901,1080726633.5724514,603737640.6967924,0.0,0.0,743037234.6739616,430651902.13848895,2488870.3192140837,1515262.8581921696,590476.8084285284,347105.8429577829,205059.94208747236,120542.42103864375
CDS,Collection & Disposal,CENTRAL,Informal collection & sorting,15981260.30712864,10607061.980898738,5029334369.501675,3338063479.021907,0.0,0.0,0.0,0.0,0.0,0.0,283318.1754631508,202802.51976122076,0.0,0.0,1773919.894091279,1177383.8798797596
CDS,Collection & Disposal,CENTRAL,Formal sorting,273448.6386022726,175818.27755952073,16343902.248484178,10618218.17702748,5447967.416161391,3539406.0590091594,0.0,0.0,1692562.3396235956,1214657.226824405,8318.599521478985,5898.280408074065,13229.445135577947,8506.088268329611,464.8626856238635,298.89107185118536
CDS,Collection & Disposal,CENTRAL,Closed loop MR Inputs,3563841.78144613,2375601.7156627555,984763235.5204637,662466212.7375324,377492573.6161779,253945381.54938745,3905970592.4649553,2603659480.366377,61080355.9296956,45201532.084343426,56611.974782456025,41422.89985274474,1596266.6118511083,1170414.8219249283,10691.525344338386,7126.805146988265
CDS,Collection & Disposal,CENTRAL,Closed loop MR Outputs,2598092.5363478987,1732176.2824528525,717956824.8653405,483069369.21099967,275216782.8650473,185176591.53088325,2847509419.8372984,1898465205.5683272,44345016.34257232,32841571.377848964,41094.063724489824,30090.80357333079,1164059.186045037,853654.2628815726,7794.277609043695,5196.528847358558
CDS,Collection & Disposal,CENTRAL,Open loop MR Inputs,11573269.983588636,7676774.067440121,2129058546.7567866,1425453521.2226443,798396955.0337949,534545070.4584917,10447571550.892334,6828363687.768133,87756574.40200263,63283641.13902561,208889.90676055173,148967.5336337896,5141829.599611031,3754659.4220116287,34719.809950765906,23030.322202320363
CDS,Collection & Disposal,CENTRAL,Open loop MR Outputs,8436040.293214101,5596945.834393309,1552042483.5537984,1039335149.0748581,582015931.3326741,389750680.9030716,7615100027.241177,4978111598.264917,106182202.09107222,76621278.21581143,151626.68824742892,108200.77896634581,3749270.7063984154,2738288.542338274,25308.120879642298,16790.837503179926
CDS,Collection & Disposal,CENTRAL,Chemical conversion P2P Inputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS,Collection & Disposal,CENTRAL,Chemical conversion P2P Outputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS,Collection & Disposal,CENTRAL,Chemical conversion P2F Inputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS,Collection & Disposal,CENTRAL,Chemical conversion P2F Outputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS,Collection & Disposal,CENTRAL,Thermal treatment,2108780.9015593915,1161176.850293744,54358523.571004935,29931919.024931498,44100970.71706003,24283711.140528914,74439965.8250465,40989542.81536915,96118513.65459272,57416593.96018847,229805.46979510257,137274.77514343878,2931205.4531675535,1614035.8219083038,210.87809015593916,116.11768502937441
CDS,Collection & Disposal,CENTRAL,Engineered landfills,4152927.8191084974,2408745.607056035,20764639.095542483,12043728.035280177,62293917.28662745,36131184.10584051,41529.278191084966,24087.456070560354,62293917.28662745,36131184.10584051,4152927.8191084974,2408745.607056035,20764.63909554248,12043.728035280174,415.2927819108497,240.87456070560356
CDS,Collection & Disposal,CENTRAL,Import (sorting),273448.6386022726,175818.27755952073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8318.599521478985,5898.280408074065,0.0,0.0,0.0,0.0
CDS,Collection & Disposal,CENTRAL,Open burning,18276949.912793938,11404168.172835214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,861377.8481026451,534903.9031245321,52893493.04762567,33003662.692185115,0.0,0.0
CDS,Collection & Disposal,LOWER,Virgin plastic production,57705709.32649457,36499749.77894547,50268328936.57849,31780858169.5428,16672470386.757132,10549665398.647844,0.0,0.0,15470171032.794693,10011438985.098835,2291877.1900436594,1483176.145940569,148162601.97770813,93673185.06400174,425768.9637938753,269010.67757229303
CDS,Collection & Disposal,LOWER,Plastic conversion,60717367.481419265,38462553.186718866,34827944703.15077,22061639871.48316,11623800580.87574,7357144017.622854,0.0,0.0,10530761719.5272,6824580381.022444,2363807.344450549,1531892.3414191792,76590244.02179503,48509941.30535549,278853.5302155874,176700.1315488779
CDS,Collection & Disposal,LOWER,Formal collection,28700421.53323685,16871267.307703428,1896656487.0771575,1062321509.439703,814314123.7122082,455205495.7194576,0.0,0.0,625073405.8149961,362259583.7463084,2096612.8151662408,1275780.069193175,476817.6757638924,280235.4580854351,164129.0058639731,96597.77856752048
CDS,Collection & Disposal,LOWER,Informal collection & sorting,13029508.945928302,8771317.49554786,4165529739.7792563,2794769659.834874,0.0,0.0,0.0,0.0,0.0,0.0,152013.27473359572,116123.83755090986,0.0,0.0,1466801.5147545158,983422.5087523877
CDS,Collection & Disposal,LOWER,Formal sorting,238061.80483912746,153071.47421753054,13866534.25266659,9005715.0207059,4624931.167510403,3000135.426001216,0.0,0.0,1448096.7449880664,1025048.9597029072,7135.288929210225,4991.432105859282,11347.504053168343,7302.047437299281,399.5460156464205,256.79927092193907
CDS,Collection & Disposal,LOWER,Closed loop MR Inputs,3219272.641345536,2164885.9327616724,850203777.2166033,572480208.571507,324030465.43492794,218537026.71538794,3370796572.4307113,2249939698.289511,34395254.26578851,27099673.015914116,31477.330055903585,24532.125986809122,1385416.2278674794,1016211.7728772075,9240.313330919607,6170.854385271361
CDS,Collection & Disposal,LOWER,Closed loop MR Outputs,2394992.8048247118,1600512.0350365078,623494324.6676477,419551892.15929765,237292466.2400424,159589276.63617447,2486284233.695957,1657317572.209344,25014824.142345935,19664025.97956725,22901.077597975403,17804.2558644873,1011201.1768550859,741185.5958733894,6765.528004749048,4513.095585589608
CDS,Collection & Disposal,LOWER,Open loop MR Inputs,9234019.95132448,6210345.6105956,1747928885.8239083,1180690564.8969781,654705891.0181885,441997527.6479393,8564006392.453389,5647267165.6966305,45851785.278142825,34925393.76064808,107905.39401522907,81227.17716635368,4273723.062416474,3141940.7055876274,28612.295505132195,19191.47939847395
CDS,Collection & Disposal,LOWER,Open loop MR Outputs,6245265.713167034,4214491.3771747695,1206967543.660738,814750023.388426,452818902.4191152,306295074.8965827,5872124370.025263,3879325924.8096733,50170150.32310966,38236276.15320403,70832.19816434174,53365.866308158016,2942219.8750939174,2164651.573740764,19572.688516829607,13108.461594761458
CDS,Collection & Disposal,LOWER,Chemical conversion P2P Inputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS,Collection & Disposal,LOWER,Chemical conversion P2P Outputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS,Collection & Disposal,LOWER,Chemical conversion P2F Inputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS,Collection & Disposal,LOWER,Chemical conversion P2F Outputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS,Collection & Disposal,LOWER,Thermal treatment,1338681.0525841236,726485.1636196943,34109075.41608968,18499174.993649516,28417110.132257782,15415458.990200847,47490836.46650816,25758856.832693692,65962631.01101318,38354023.63759453,157707.11418697197,91698.92547697264,1871406.732702978,1015788.5122614382,132.9430979914427,72.21263730368939
CDS,Collection & Disposal,LOWER,Engineered landfills,2637698.3582455227,1519372.5225664293,12666197.454781212,7305116.190698597,37907443.055584155,21863518.23142648,25246.76183390764,14562.238719460172,39565475.37368288,22790587.83849646,2637698.3582455227,1519372.5225664293,12626.145684203551,7276.273125678281,254.13412931488082,146.52360066040677
CDS,Collection & Disposal,LOWER,Import (sorting),238061.80483912746,153071.47421753054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7135.288929210225,4991.432105859282,0.0,0.0,0.0,0.0
CDS,Collection & Disposal,LOWER,Open burning,7049713.067400213,4957939.1186435055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71215.74114178249,65409.28638237295,19389495.49501973,13561320.53786309,0.0,0.0
CDS,Collection & Disposal,UPPER,Virgin plastic production,58322389.85048621,36862056.325574346,67268215328.341125,42531471137.888176,22363667485.654324,14160835162.120014,0.0,0.0,15827450814.9196,10245587201.74551,2344807.528136235,1517864.7706289631,160598535.66440147,101516486.76037681,502211.85573660646,317318.2538699554
CDS,Collection & Disposal,UPPER,Plastic conversion,60717603.37526353,38462750.55254547,46527501356.9157,29469430220.285007,15487548667.589087,9802526981.291677,0.0,0.0,10561196578.165861,6847787777.890322,2370638.962551259,1537101.6336454141,83104488.2637091,52662202.63499517,327636.9286101527,207489.3901202126
CDS,Collection & Disposal,UPPER,Formal collection,33999838.121027514,19992780.87902595,2611611334.2636695,1461825770.1499028,1134014909.4793224,634267815.3556857,0.0,0.0,738256722.0023787,428212279.860368,2480476.4424304953,1510515.981065823,597301.3668082952,351555.04071540583,208270.59081426176,122582.32983602777
CDS,Collection & Disposal,UPPER,Informal collection & sorting,21300141.31845595,13667275.16788585,6619935626.301391,4247840643.902523,0.0,0.0,0.0,0.0,0.0,0.0,724965.6803580849,467540.5790569008,0.0,0.0,2360837.4512684466,1516294.3173311339
CDS,Collection & Disposal,UPPER,Formal sorting,355447.415189991,228539.95113115932,21130592.283714484,13740921.488485506,6964136.997811512,4531509.990273723,0.0,0.0,2216258.5829168656,1587662.2690873547,10896.39081213506,7712.170943335616,17088.278039342273,10992.627971693493,599.1627854181417,384.81351177761246
CDS,Collection & Disposal,UPPER,Closed loop MR Inputs,4110145.2570260856,2688369.974226457,1165965315.765085,774058495.7737658,447160895.0880477,296278075.58635217,4660559736.674009,3062114801.6116567,109196975.9132712,75049204.16162522,102772.20427080261,69856.27345415988,1843645.335276798,1336756.3065967518,12797.882762994319,8399.364349210238
CDS,Collection & Disposal,UPPER,Closed loop MR Outputs,3011783.1157487985,1962894.8674646302,849641630.3423208,563507493.3520857,325353643.4633632,215846618.86533505,3386139741.3815813,2225394784.9398627,79262968.96285444,54605409.35654891,74530.09734977069,50786.223367783154,1358581.4835042544,984633.3852385666,9277.484081751625,6099.015517271341
CDS,Collection & Disposal,UPPER,Open loop MR Inputs,16142041.266433017,10312377.622532485,2860909605.4028325,1845624183.0063705,1077687501.379452,695741767.5591011,14457030722.885021,9090525993.290758,240117908.77708587,155509053.71120316,585641.5383441492,375326.6019040174,6602848.050659962,4667314.914395473,47751.526280192484,30423.681362361516
CDS,Collection & Disposal,UPPER,Open loop MR Outputs,12249545.764313849,7806413.2048223,2141324549.2592883,1378438135.4322462,803693901.6386312,517749390.7476701,10821895641.831532,6795804369.998132,309753683.6445721,199405150.0133621,453844.13449482335,289136.3206938734,4916839.99768528,3465847.763660288,35632.989555391105,22665.720015601903
CDS,Collection & Disposal,UPPER,Chemical conversion P2P Inputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS,Collection & Disposal,UPPER,Chemical conversion P2P Outputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS,Collection & Disposal,UPPER,Chemical conversion P2F Inputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS,Collection & Disposal,UPPER,Chemical conversion P2F Outputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS,Collection & Disposal,UPPER,Thermal treatment,2438611.668574053,1356956.2169613854,65295592.18742544,36294192.75761473,53086707.13323062,29527564.140921876,89872759.16076057,49968053.16597401,108758482.65901604,66332513.1899806,260025.808258672,158591.44900109418,3512213.695534049,1951669.4203844843,253.4130623594194,140.94782460312084
CDS,Collection & Disposal,UPPER,Engineered landfills,4874217.575722663,2840873.4990873407,24511217.679368407,14317090.929941757,73962527.41249289,43129192.44661975,49379.37364415397,28782.668912368303,73113263.63583994,42613102.4863101,4874217.575722663,2840873.4990873407,24722.63114170015,14418.889283870605,494.4271915714654,288.47074831565
CDS,Collection & Disposal,UPPER,Import (sorting),355447.415189991,228539.95113115932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10896.39081213506,7712.170943335616,0.0,0.0,0.0,0.0
CDS,Collection & Disposal,UPPER,Open burning,9405751.225265998,6629659.95161118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106132.35632881301,97619.17937187578,29317969.385886837,20566212.836708974,0.0,0.0
RES,Recycling,CENTRAL,Virgin plastic production,58106878.977976106,36787394.52307409,58833214965.20082,37247236954.61253,19611071655.066933,12415745651.537508,0.0,0.0,15453722505.103144,10022155123.590776,2289440.3711263905,1484763.7220134477,154854832.4763064,98038406.40399252,464855.0318238089,294299.1561845928
RES,Recycling,CENTRAL,Plastic conversion,60717367.48142178,38462553.18672061,40574380819.46012,25702601167.026054,13524793606.486702,8567533722.342015,0.0,0.0,10551554285.084991,6841570684.517632,2368474.5869999984,1535706.1020241599,79782620.87058826,50539794.8873509,303586.83740710886,192312.76593360305
