scenario,label,variant,year,formal_collection_t,informal_collection_t,mixed_collection_t,uncollected_t,closed_loop_mr_t,open_loop_mr_t,chemical_p2p_t,chemical_p2f_t,engineered_landfill_t,thermal_treatment_t,unsanitary_dumpsite_t,uncollected_to_burn_t,uncollected_to_land_t,uncollected_to_water_t,post_collection_mismanaged_t,aquatic_t,terrestrial_t,open_burning_t,total_leakage_t
BAU,Business-as-Usual,CENTRAL,2030,417510.488327368,705309.9628816706,834986.4644378851,1501223.93913013,99270.9137102044,322518.28637469973,0.0,0.0,0.0,0.0,179744.813857949,782587.303428554,418147.106106718,300183.602383818,742825.711074656,434586.6388912791,345505.336687207,912317.220657127,1692409.196235613
BAU,Business-as-Usual,CENTRAL,2031,420914.689711504,715874.9276160558,841792.1634544961,1593655.5165432,100723.675483138,327184.5345713648,0.0,0.0,0.0,0.0,181040.225566202,828375.257989892,446300.481238748,318668.93480716,748939.1785147532,457965.3708588032,369065.226174009,959560.976801389,1786591.5738342013
BAU,Business-as-Usual,CENTRAL,2032,424241.819744871,726327.5576485059,848447.4056328459,1686899.53159426,102160.744235395,331799.63419003674,0.0,0.0,0.0,0.0,182304.625434251,874594.57123387,474675.726407776,337317.574410412,754923.751464548,481538.1328891721,392807.691951624,1007215.667119306,1881561.4919601022
BAU,Business-as-Usual,CENTRAL,2033,427836.856191782,737242.8918298688,855635.179723012,1782285.34901328,103662.676564083,336625.24006965075,0.0,0.0,0.0,0.0,183681.440458297,921931.753967841,503643.456089885,356393.802514431,761377.5923662923,505679.58855757985,417037.244798097,1056070.771659297,1978787.6050149738
BAU,Business-as-Usual,CENTRAL,2034,431367.155260231,748036.0143847311,862696.605818188,1878398.64485198,105147.645696967,341396.1149199487,0.0,0.0,0.0,0.0,185033.285608772,969658.743723289,532806.536252535,375616.319993956,767723.069733701,529996.8097191022,441426.975000791,1105296.244925788,2076720.0296456811
BAU,Business-as-Usual,CENTRAL,2035,434822.212160824,758674.2205518719,869607.608584432,1975079.84561265,106610.946974512,346097.2037430196,0.0,0.0,0.0,0.0,186353.828392071,1017694.36616997,562115.617943049,394952.496028253,773934.565434623,554445.8931352313,465934.654964909,1154804.831287408,2175185.379387548
BAU,Business-as-Usual,CENTRAL,2036,438558.340757179,769757.9397867911,877077.4000476181,2073833.29493066,108136.855707478,351002.2485955726,0.0,0.0,0.0,0.0,187793.929597597,1066813.77751373,591995.274866436,414702.263095042,780638.4258960107,579449.7951084137,490910.714098572,1205480.480690598,2275840.9898975836
BAU,Business-as-Usual,CENTRAL,2037,442267.932447133,780732.0060048024,884497.0132863681,2173136.72638793,109647.806583355,355860.00765707856,0.0,0.0,0.0,0.0,189227.306402951,1116238.53966779,622013.01407242,434562.888435053,787301.082534288,604593.160187156,515998.582061643,1256449.442114687,2377041.1843634862
BAU,Business-as-Usual,CENTRAL,2038,445971.748247702,791609.6128056593,891904.845640552,2272927.87177374,111145.574833674,360676.6161867375,0.0,0.0,0.0,0.0,190661.318806348,1165937.52061655,652146.821280479,454521.085474257,793952.3905958037,629860.8306881273,541178.50480089,1307683.594056993,2478722.9295460107
BAU,Business-as-Usual,CENTRAL,2039,449979.169599378,802914.3716251618,899916.975871373,2374657.17788203,112703.628020805,365690.7681997105,0.0,0.0,0.0,0.0,192227.133475219,1216654.16920463,682810.185257769,474866.088615599,801136.9245452712,655656.02952607,566792.307761098,1360021.160757099,2582469.4980442673
