scenario,label,time_yrs,ocean_leakage_stock_t,land_pollution_stock_t,unsanitary_dumpsites_stock_t,surface_store_stock_t,year
SCS,System Change,10.45,2859015.07057345,2380741.63233371,2069484.7950547,1101.2242994277,2029
SCS,System Change,11.5,3133473.91736552,2604633.40682537,2256001.08959122,1097.98730452109,2030
SCS,System Change,12.45,3376100.35722727,2801315.97590811,2422571.99375462,1090.27870690995,2031
SCS,System Change,13.5,3637110.42993405,3011299.79617139,2603707.37795668,1078.29515759094,2032
SCS,System Change,14.45,3866174.76328001,3193904.50451623,2764588.97744742,1062.24254749847,2033
SCS,System Change,15.5,4110133.49870329,3386163.54018762,2939413.2428384,1054.05240948167,2034
SCS,System Change,16.45,4323011.79908757,3553386.06498541,3096503.05891585,1051.4149903714,2035
SCS,System Change,17.5,4551022.20763279,3734126.69708832,3269743.54069906,1045.4345849976,2036
SCS,System Change,18.45,4750309.33675317,3893677.55775063,3425701.09214045,1036.12227029398,2037
SCS,System Change,19.5,4962390.72987519,4065341.74457184,3596826.38161226,1023.54032249884,2038
SCS,System Change,20.45,5146603.37855915,4216254.6527957,3750062.42591093,1007.32016982119,2039
SCS,System Change,21.5,5341383.24454866,4377960.99534424,3917280.90365064,987.557972677273,2040
SCS,System Change,22.45,5509487.44356291,4519570.866775,4066155.34243325,963.991715485401,2041
SCS,System Change,23.5,5686095.30880932,4670739.43853584,4227654.05441114,936.544792399253,2042
SCS,System Change,24.45,5837522.50913528,4802647.13252636,4370507.30914672,904.507843539557,2043
SCS,System Change,25.0,5922634.03758087,4877496.99645685,4452520.73042714,904.773301591099,2044
