scenario,label,variant,year,generation_from_econs_flow_t,generation_from_flow42_t,waste_generated_total_t,generation_from_econs_flow_Mt,generation_from_flow42_Mt,waste_generated_total_Mt,flow42_minus_econs_t
BAU,Business-as-Usual,LOWER,2041,3348105.12827865,3348679.67718001,3105423.415808464,3.34810512827865,3.34867967718001,3.105423415808464,574.5489013600163
BAU,Business-as-Usual,LOWER,2042,3462149.32275302,3462727.52882,3216603.4323817273,3.46214932275302,3.4627275288200003,3.2166034323817274,578.2060669800267
BAU,Business-as-Usual,LOWER,2043,3578841.53946506,3579433.22039,3330255.464281298,3.57884153946506,3.57943322039,3.330255464281298,591.680924939923
BAU,Business-as-Usual,LOWER,2044,3698253.30874747,3698858.779,3446446.970380442,3.69825330874747,3.698858779,3.446446970380442,605.4702525301836
BAU,Business-as-Usual,UPPER,2020,1330384.192,1330384.192,1532460.2075593271,1.3303841920000001,1.3303841920000001,1.5324602075593272,0.0
BAU,Business-as-Usual,UPPER,2021,1382917.85029999,1383185.5455,1582143.3430843651,1.3829178502999901,1.3831855455,1.5821433430843652,267.69520000997
BAU,Business-as-Usual,UPPER,2022,1523747.81136457,1524464.073,1732485.991919375,1.52374781136457,1.524464073,1.7324859919193751,716.2616354301572
BAU,Business-as-Usual,UPPER,2023,1585757.32612608,1586069.6575,1792821.242975755,1.58575732612608,1.5860696575,1.7928212429757548,312.3313739199657
BAU,Business-as-Usual,UPPER,2024,1648524.20900959,1648842.458,1854162.264109782,1.6485242090095902,1.648842458,1.854162264109782,318.24899041000754
BAU,Business-as-Usual,UPPER,2025,1710874.3012581,1711190.39626,1915169.469937028,1.7108743012581,1.7111903962600001,1.9151694699370279,316.09500190010294
BAU,Business-as-Usual,UPPER,2026,1800839.95940029,1801296.78572,2007083.350333913,1.80083995940029,1.80129678572,2.007083350333913,456.8263197101187
BAU,Business-as-Usual,UPPER,2027,1892401.20120612,1892865.441,2100640.470712263,1.89240120120612,1.892865441,2.1006404707122632,464.23979388014413
BAU,Business-as-Usual,UPPER,2028,1987121.03485961,1987601.33208,2197570.104724032,1.98712103485961,1.9876013320800001,2.197570104724032,480.2972203900572
BAU,Business-as-Usual,UPPER,2029,2083124.74078703,2083611.4984,2295790.086171903,2.08312474078703,2.0836114984,2.295790086171903,486.75761296995915
BAU,Business-as-Usual,UPPER,2030,2180276.03757947,2180768.61004,2395157.797607638,2.18027603757947,2.1807686100400003,2.395157797607638,492.57246053032577
BAU,Business-as-Usual,UPPER,2031,2280238.78264323,2280745.65174,2497503.733245123,2.28023878264323,2.28074565174,2.4975037332451233,506.8690967699513
BAU,Business-as-Usual,UPPER,2032,2380892.96313493,2381403.28272,2600502.813922651,2.38089296313493,2.38140328272,2.600502813922651,510.319585070014
BAU,Business-as-Usual,UPPER,2033,2484131.24780638,2484654.7176,2706225.96240219,2.48413124780638,2.4846547176000002,2.7062259624021903,523.4697936200537
BAU,Business-as-Usual,UPPER,2034,2587983.86783426,2588510.40108,2812527.642829447,2.5879838678342604,2.58851040108,2.8125276428294472,526.5332457399927
BAU,Business-as-Usual,UPPER,2035,2692270.40486007,2692799.1336,2919220.8406206323,2.69227040486007,2.6927991336,2.9192208406206324,528.7287399298511
BAU,Business-as-Usual,UPPER,2036,2799076.82416282,2799618.38225,3028575.5715604513,2.79907682416282,2.79961838225,3.0285755715604514,541.5580871799029
BAU,Business-as-Usual,UPPER,2037,2906361.02601874,2906904.95336,3138385.2379474677,2.90636102601874,2.90690495336,3.138385237947468,543.927341260016
BAU,Business-as-Usual,UPPER,2038,3014087.97395316,3014634.14532,3248623.420618203,3.01408797395316,3.01463414532,3.248623420618203,546.1713668401353
BAU,Business-as-Usual,UPPER,2039,3124213.87595955,3124772.26022,3361406.3725136747,3.12421387595955,3.12477226022,3.3614063725136747,558.3842604500242
BAU,Business-as-Usual,UPPER,2040,3234792.55189999,3235353.18113,3474642.0395724727,3.2347925518999903,3.23535318113,3.4746420395724726,560.6292300098576
BAU,Business-as-Usual,UPPER,2041,3348105.12828128,3348679.67718001,3590786.840744678,3.34810512828128,3.34867967718001,3.590786840744678,574.5488987299614
BAU,Business-as-Usual,UPPER,2042,3462149.32275562,3462727.52882,3707695.2131217094,3.4621493227556197,3.4627275288200003,3.7076952131217094,578.2060643802397
BAU,Business-as-Usual,UPPER,2043,3578841.53946643,3579433.22039,3827427.614648293,3.57884153946643,3.57943322039,3.827427614648293,591.6809235699475
BAU,Business-as-Usual,UPPER,2044,3698253.30875123,3698858.779,3950059.647119772,3.69825330875123,3.698858779,3.950059647119772,605.4702487699687
CDS,Collection & Disposal,CENTRAL,2020,1330384.192,1330384.192,1330384.1919999989,1.3303841920000001,1.3303841920000001,1.3303841919999988,0.0
CDS,Collection & Disposal,CENTRAL,2021,1382917.85029999,1383185.5455,1382917.850299985,1.3829178502999901,1.3831855455,1.3829178502999848,267.69520000997
CDS,Collection & Disposal,CENTRAL,2022,1523747.8113644,1524464.073,1523747.8113643988,1.5237478113644,1.524464073,1.5237478113643987,716.2616356001236
