scenario,label,variant,year,plastic_waste_generation_t,plastic_waste_generation_Mt
CDS,Collection & Disposal,CENTRAL,2021,1383185.5455,1.3831855455
CDS,Collection & Disposal,CENTRAL,2022,1524464.073,1.524464073
CDS,Collection & Disposal,CENTRAL,2023,1586069.6575,1.5860696575
CDS,Collection & Disposal,CENTRAL,2024,1648842.458,1.648842458
CDS,Collection & Disposal,CENTRAL,2025,1711190.39626,1.7111903962600001
CDS,Collection & Disposal,CENTRAL,2026,1801296.78572,1.80129678572
CDS,Collection & Disposal,CENTRAL,2027,1892865.441,1.892865441
CDS,Collection & Disposal,CENTRAL,2028,1987601.33208,1.9876013320800001
CDS,Collection & Disposal,CENTRAL,2029,2083611.4984,2.0836114984
CDS,Collection & Disposal,CENTRAL,2030,2180768.61004,2.1807686100400003
CDS,Collection & Disposal,CENTRAL,2031,2280745.65174,2.28074565174
CDS,Collection & Disposal,CENTRAL,2032,2381403.28272,2.38140328272
CDS,Collection & Disposal,CENTRAL,2033,2484654.7176,2.4846547176000002
CDS,Collection & Disposal,CENTRAL,2034,2588510.40108,2.58851040108
CDS,Collection & Disposal,CENTRAL,2035,2692799.1336,2.6927991336
CDS,Collection & Disposal,CENTRAL,2036,2799618.38225,2.79961838225
CDS,Collection & Disposal,CENTRAL,2037,2906904.95336,2.90690495336
CDS,Collection & Disposal,CENTRAL,2038,3014634.14532,3.01463414532
CDS,Collection & Disposal,CENTRAL,2039,3124772.26022,3.12477226022
CDS,Collection & Disposal,CENTRAL,2040,3235353.18113,3.23535318113
CDS,Collection & Disposal,CENTRAL,2041,3348679.67718001,3.34867967718001
CDS,Collection & Disposal,CENTRAL,2042,3462727.52882,3.4627275288200003
CDS,Collection & Disposal,CENTRAL,2043,3579433.22039,3.57943322039
CDS,Collection & Disposal,CENTRAL,2044,3698858.779,3.698858779
CDS,Collection & Disposal,LOWER,2020,1330384.192,1.3303841920000001
CDS,Collection & Disposal,LOWER,2021,1383185.5455,1.3831855455
CDS,Collection & Disposal,LOWER,2022,1524464.073,1.524464073
CDS,Collection & Disposal,LOWER,2023,1586069.6575,1.5860696575
CDS,Collection & Disposal,LOWER,2024,1648842.458,1.648842458
CDS,Collection & Disposal,LOWER,2025,1711190.39626,1.7111903962600001
CDS,Collection & Disposal,LOWER,2026,1801296.78572,1.80129678572
CDS,Collection & Disposal,LOWER,2027,1892865.441,1.892865441
CDS,Collection & Disposal,LOWER,2028,1987601.33208,1.9876013320800001
CDS,Collection & Disposal,LOWER,2029,2083611.4984,2.0836114984
CDS,Collection & Disposal,LOWER,2030,2180768.61004,2.1807686100400003
CDS,Collection & Disposal,LOWER,2031,2280745.65174,2.28074565174
CDS,Collection & Disposal,LOWER,2032,2381403.28272,2.38140328272
CDS,Collection & Disposal,LOWER,2033,2484654.7176,2.4846547176000002
CDS,Collection & Disposal,LOWER,2034,2588510.40108,2.58851040108
CDS,Collection & Disposal,LOWER,2035,2692799.1336,2.6927991336
CDS,Collection & Disposal,LOWER,2036,2799618.38225,2.79961838225
CDS,Collection & Disposal,LOWER,2037,2906904.95336,2.90690495336
CDS,Collection & Disposal,LOWER,2038,3014634.14532,3.01463414532
CDS,Collection & Disposal,LOWER,2039,3124772.26022,3.12477226022
CDS,Collection & Disposal,LOWER,2040,3235353.18113,3.23535318113
CDS,Collection & Disposal,LOWER,2041,3348679.67718001,3.34867967718001
CDS,Collection & Disposal,LOWER,2042,3462727.52882,3.4627275288200003
CDS,Collection & Disposal,LOWER,2043,3579433.22039,3.57943322039
CDS,Collection & Disposal,LOWER,2044,3698858.779,3.698858779
CDS,Collection & Disposal,UPPER,2020,1330384.192,1.3303841920000001
CDS,Collection & Disposal,UPPER,2021,1383185.5455,1.3831855455
CDS,Collection & Disposal,UPPER,2022,1524464.073,1.524464073
CDS,Collection & Disposal,UPPER,2023,1586069.6575,1.5860696575
CDS,Collection & Disposal,UPPER,2024,1648842.458,1.648842458
CDS,Collection & Disposal,UPPER,2025,1711190.39626,1.7111903962600001
CDS,Collection & Disposal,UPPER,2026,1801296.78572,1.80129678572
CDS,Collection & Disposal,UPPER,2027,1892865.441,1.892865441
CDS,Collection & Disposal,UPPER,2028,1987601.33208,1.9876013320800001
CDS,Collection & Disposal,UPPER,2029,2083611.4984,2.0836114984
CDS,Collection & Disposal,UPPER,2030,2180768.61004,2.1807686100400003
CDS,Collection & Disposal,UPPER,2031,2280745.65174,2.28074565174
CDS,Collection & Disposal,UPPER,2032,2381403.28272,2.38140328272
CDS,Collection & Disposal,UPPER,2033,2484654.7176,2.4846547176000002
CDS,Collection & Disposal,UPPER,2034,2588510.40108,2.58851040108
CDS,Collection & Disposal,UPPER,2035,2692799.1336,2.6927991336
CDS,Collection & Disposal,UPPER,2036,2799618.38225,2.79961838225
CDS,Collection & Disposal,UPPER,2037,2906904.95336,2.90690495336
CDS,Collection & Disposal,UPPER,2038,3014634.14532,3.01463414532
CDS,Collection & Disposal,UPPER,2039,3124772.26022,3.12477226022
CDS,Collection & Disposal,UPPER,2040,3235353.18113,3.23535318113
CDS,Collection & Disposal,UPPER,2041,3348679.67718001,3.34867967718001
CDS,Collection & Disposal,UPPER,2042,3462727.52882,3.4627275288200003
CDS,Collection & Disposal,UPPER,2043,3579433.22039,3.57943322039
CDS,Collection & Disposal,UPPER,2044,3698858.779,3.698858779
RES,Recycling,CENTRAL,2020,1330384.192,1.3303841920000001
RES,Recycling,CENTRAL,2021,1383185.5455,1.3831855455
RES,Recycling,CENTRAL,2022,1524464.073,1.524464073
RES,Recycling,CENTRAL,2023,1586069.6575,1.5860696575
RES,Recycling,CENTRAL,2024,1648842.458,1.648842458
RES,Recycling,CENTRAL,2025,1711190.39626,1.7111903962600001
RES,Recycling,CENTRAL,2026,1801296.78572,1.80129678572
RES,Recycling,CENTRAL,2027,1892865.441,1.892865441
RES,Recycling,CENTRAL,2028,1987601.33208,1.9876013320800001
RES,Recycling,CENTRAL,2029,2083611.4984,2.0836114984
RES,Recycling,CENTRAL,2030,2180768.61004,2.1807686100400003
RES,Recycling,CENTRAL,2031,2280745.65174,2.28074565174
RES,Recycling,CENTRAL,2032,2381403.28272,2.38140328272
RES,Recycling,CENTRAL,2033,2484654.7176,2.4846547176000002
RES,Recycling,CENTRAL,2034,2588510.40108,2.58851040108
RES,Recycling,CENTRAL,2035,2692799.1336,2.6927991336
RES,Recycling,CENTRAL,2036,2799618.38225,2.79961838225
RES,Recycling,CENTRAL,2037,2906904.95336,2.90690495336
RES,Recycling,CENTRAL,2038,3014634.14532,3.01463414532
RES,Recycling,CENTRAL,2039,3124772.26022,3.12477226022
RES,Recycling,CENTRAL,2040,3235353.18113,3.23535318113
RES,Recycling,CENTRAL,2041,3348679.67718001,3.34867967718001
RES,Recycling,CENTRAL,2042,3462727.52882,3.4627275288200003
RES,Recycling,CENTRAL,2043,3579433.22039,3.57943322039
RES,Recycling,CENTRAL,2044,3698858.779,3.698858779
RES,Recycling,LOWER,2020,1330384.192,1.3303841920000001
RES,Recycling,LOWER,2021,1383185.5455,1.3831855455
RES,Recycling,LOWER,2022,1524464.073,1.524464073
RES,Recycling,LOWER,2023,1586069.6575,1.5860696575
RES,Recycling,LOWER,2024,1648842.458,1.648842458
RES,Recycling,LOWER,2025,1711190.39626,1.7111903962600001
RES,Recycling,LOWER,2026,1801296.78572,1.80129678572
RES,Recycling,LOWER,2027,1892865.441,1.892865441
RES,Recycling,LOWER,2028,1987601.33208,1.9876013320800001
RES,Recycling,LOWER,2029,2083611.4984,2.0836114984
RES,Recycling,LOWER,2030,2180768.61004,2.1807686100400003
RES,Recycling,LOWER,2031,2280745.65174,2.28074565174
RES,Recycling,LOWER,2032,2381403.28272,2.38140328272
RES,Recycling,LOWER,2033,2484654.7176,2.4846547176000002
RES,Recycling,LOWER,2034,2588510.40108,2.58851040108
RES,Recycling,LOWER,2035,2692799.1336,2.6927991336
RES,Recycling,LOWER,2036,2799618.38225,2.79961838225
RES,Recycling,LOWER,2037,2906904.95336,2.90690495336
RES,Recycling,LOWER,2038,3014634.14532,3.01463414532
RES,Recycling,LOWER,2039,3124772.26022,3.12477226022
RES,Recycling,LOWER,2040,3235353.18113,3.23535318113
RES,Recycling,LOWER,2041,3348679.67718001,3.34867967718001
RES,Recycling,LOWER,2042,3462727.52882,3.4627275288200003
RES,Recycling,LOWER,2043,3579433.22039,3.57943322039
RES,Recycling,LOWER,2044,3698858.779,3.698858779
RES,Recycling,UPPER,2020,1330384.192,1.3303841920000001
RES,Recycling,UPPER,2021,1383185.5455,1.3831855455
RES,Recycling,UPPER,2022,1524464.073,1.524464073
RES,Recycling,UPPER,2023,1586069.6575,1.5860696575
RES,Recycling,UPPER,2024,1648842.458,1.648842458
RES,Recycling,UPPER,2025,1711190.39626,1.7111903962600001
RES,Recycling,UPPER,2026,1801296.78572,1.80129678572
RES,Recycling,UPPER,2027,1892865.441,1.892865441
RES,Recycling,UPPER,2028,1987601.33208,1.9876013320800001
RES,Recycling,UPPER,2029,2083611.4984,2.0836114984
RES,Recycling,UPPER,2030,2180768.61004,2.1807686100400003
RES,Recycling,UPPER,2031,2280745.65174,2.28074565174
RES,Recycling,UPPER,2032,2381403.28272,2.38140328272
RES,Recycling,UPPER,2033,2484654.7176,2.4846547176000002
RES,Recycling,UPPER,2034,2588510.40108,2.58851040108
RES,Recycling,UPPER,2035,2692799.1336,2.6927991336
RES,Recycling,UPPER,2036,2799618.38225,2.79961838225
RES,Recycling,UPPER,2037,2906904.95336,2.90690495336
RES,Recycling,UPPER,2038,3014634.14532,3.01463414532
RES,Recycling,UPPER,2039,3124772.26022,3.12477226022
RES,Recycling,UPPER,2040,3235353.18113,3.23535318113
RES,Recycling,UPPER,2041,3348679.67718001,3.34867967718001
