scenario,label,ocean_leakage_stock_2020_t,ocean_leakage_stock_2044_t,land_pollution_stock_2020_t,land_pollution_stock_2044_t,unsanitary_dumpsites_stock_2020_t,unsanitary_dumpsites_stock_2044_t,surface_store_stock_2020_t,surface_store_stock_2044_t
BAU,Business-as-Usual,104674.036592808,12658526.010476,25260.161297048,5443018.66553399,238070.981895175,3997494.49075393,902.615681401731,1046.02678950493
CDS,Collection & Disposal,128378.539529313,7899368.9468118,86478.2424616183,5113497.86536384,237546.07379612,4134374.47656877,1007.09174706454,1437.39022776329
RES,Recycling,136927.917740821,9026528.16326372,127723.307158517,7141366.37570701,241217.411413818,6245481.86941035,1100.25775365088,2899.6769630447
RSS,Reduce & Substitute,110669.319673394,8742239.33752279,18951.0686706365,2031798.71612509,230306.382747076,4868393.55756013,1027.55843874323,1459.26688694743
SCS,System Change,105279.354361088,5922634.03758087,83169.0657323421,4877496.99645685,256755.202994285,4452520.73042714,936.793971949777,904.773301591099
