scenario,label,variant,year,aquatic_t,terrestrial_t,open_burning_t,total_leakage_t,leakage_avoided_vs_BAU_t,required_investment_usd,required_investment_pv_3_5_usd,opex_usd,capex_usd,revenue_usd,net_annual_cost_usd,ghg_total,jobs_total,investment_per_t_avoided_usd
BAU,Business-as-Usual,CENTRAL,2038,629860.8306881273,541178.50480089,1307683.594056993,2478722.9295460107,0.0,1207722819.5978708,650191033.4196308,5330942277.270075,1734632198.6048028,803498745.5807675,6262075730.29411,15824719.372722672,98796.98507279008,
BAU,Business-as-Usual,CENTRAL,2039,655656.02952607,566792.307761098,1360021.160757099,2582469.4980442673,0.0,1234765123.1748629,642270105.110537,5519354538.125334,1796843078.377726,814693110.0962138,6501504506.406845,16393946.44924664,101046.29647955514,
BAU,Business-as-Usual,CENTRAL,2040,681577.2003249864,592488.861764141,1412621.487037051,2686687.5491261785,0.0,1239725508.2807565,623043746.5216208,5708515416.676208,1859307315.0281744,825829243.9308594,6741993487.773522,16965159.154144075,103297.4146616707,
BAU,Business-as-Usual,CENTRAL,2041,708095.9049663048,618675.575453714,1466467.2373413169,2793238.717761336,0.0,1270555151.3404796,616944611.934921,5902451760.038621,1923336272.9405088,837489565.5614567,6988298467.417673,17550271.89919181,105623.61619927986,
BAU,Business-as-Usual,CENTRAL,2042,734796.6945740083,644985.372441097,1520688.180491348,2900470.2475064537,0.0,1278654188.7174492,599881419.1556818,6097636079.133538,1987780457.552827,849181869.7987194,7236234666.887646,18138780.696337245,107962.06926349048,
BAU,Business-as-Usual,CENTRAL,2043,762077.3722494988,671763.550051125,1576111.269487953,3009952.1917885765,0.0,1308507207.0369365,593127518.3867071,6297446585.29748,2053740803.4904797,861380163.5524348,7489807225.235524,18740668.796978105,110373.24467937606,
BAU,Business-as-Usual,CENTRAL,2044,789958.0382308495,699026.203866844,1632772.516395706,3121756.7584933992,0.0,1339058725.9337575,586450321.7262866,6502007214.036245,2121258186.0755665,874096934.6905713,7749168465.421242,19356284.603118468,112858.88145967046,
BAU,Business-as-Usual,LOWER,2020,124385.48835224914,19654.8749681226,327974.6677862686,472015.03110664035,0.0,0.0,0.0,2104852963.9706273,660318406.5716081,518905189.668254,2246266180.8739815,6544620.908492559,59337.367114257155,
BAU,Business-as-Usual,LOWER,2021,132450.9717787594,30725.2978136108,347866.708694796,511042.9782871662,0.0,583575259.4947039,563840830.4296657,2210493205.1210585,701362867.1083333,512700410.4772301,2399155661.752162,6819297.725075825,59494.76230223057,
BAU,Business-as-Usual,LOWER,2022,149093.7517378499,44841.6117244787,389622.72578010545,583558.0892424341,0.0,1560082662.4809675,1456353858.8820908,2335485591.037533,758042507.3387916,542345911.7774247,2551182186.5989,7519560.048353609,63337.67635424194,
